"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"743",743,"P14550","f[(1)](id, age)",0.793,0.003,0.024,0.002,0.001,0.178,1.003,134,15,5,0,1,1,0
"744",744,"P14618","f[(1)](id, age), f[(2)](age)",0.352,0.094,0.006,0.009,0.001,0.537,1.002,189,21,11,0,5,11,0
"745",745,"P14618.1","f[(2)](age), f[(1)](id, age)",0.314,0.512,0.004,0.001,0.005,0.165,1.002,189,21,11,0,3,11,0
"746",746,"P14625","f[(1)](id, age), f[(4)](sex, age)",0.639,0.008,0.002,0.109,0.025,0.217,1.002,189,21,11,0,1,11,0
"747",747,"P14780","f[(1)](id, age), f[(5)](group)",0.696,0.026,0.014,0.005,0.039,0.22,1.002,153,17,10,0,4,10,0
"748",748,"P14868","f[(1)](id, age), f[(2)](age), f[(5)](group)",0.422,0.058,0.01,0.013,0.042,0.455,1.002,99,11,7,0,2,7,0
"749",749,"P14923","f[(1)](id, age)",0.406,0.004,0.005,0.001,0.013,0.57,1.002,144,16,9,0,3,9,0
"750",750,"P15085","f[(1)](id, age), f[(5)](group), f[(3)](diseaseAge)",0.432,0.016,0.04,0.008,0.05,0.454,1.003,108,12,6,0,1,5,0
"751",751,"P15086","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.557,0.042,0.041,0.007,0.003,0.351,1.002,171,19,9,0,5,7,0
"752",752,"P15090","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.42,0.134,0.013,0.035,0.003,0.395,1.002,189,21,11,0,1,11,0
"753",753,"P15144","f[(1)](id, age), f[(2)](age)",0.561,0.145,0.004,0.006,0.002,0.282,1.002,189,21,11,0,2,11,0
"754",754,"P63000","f[(1)](id, age), f[(2)](age)",0.458,0.084,0.007,0.004,0.008,0.439,1.006,162,18,9,0,0,9,0
"755",755,"P15169","f[(1)](id, age), f[(2)](age), f[(4)](sex, age)",0.595,0.044,0.014,0.026,0.018,0.302,1.003,189,21,11,0,6,10,0
"756",756,"P15291","f[(1)](id, age), f[(4)](sex, age), f[(2)](age)",0.388,0.046,0.008,0.085,0.02,0.453,1.004,189,21,11,0,3,10,0
"757",757,"P15374","f[(2)](age), f[(1)](id, age)",0.07,0.312,0.003,0.005,0.001,0.61,1.002,144,16,6,0,2,6,0
"758",758,"P15509","f[(1)](id, age), f[(4)](sex, age)",0.729,0.018,0.002,0.097,0.001,0.154,1.002,162,18,11,0,2,11,0
"759",759,"P15907","f[(1)](id, age)",0.87,0.02,0.003,0.006,0.017,0.084,1.002,171,19,9,0,2,9,0
"760",760,"P15924","f[(1)](id, age)",0.28,0.005,0.005,0.003,0.017,0.69,1.002,162,18,10,0,1,10,0
"761",761,"P16035","f[(1)](id, age), f[(2)](age)",0.336,0.113,0.007,0.002,0.001,0.541,1.002,189,21,11,0,5,10,0
"762",762,"P16083","f[(1)](id, age)",0.859,0.018,0.002,0.009,0.001,0.112,1.002,171,19,9,0,2,9,0
"763",763,"P16109","f[(1)](id, age), f[(2)](age)",0.632,0.052,0.007,0.017,0.001,0.292,1.002,189,21,11,0,4,11,0
"764",764,"P16152","f[(2)](age), f[(1)](id, age), f[(5)](group)",0.083,0.092,0.008,0.011,0.053,0.754,1.003,189,21,11,0,1,11,0
"765",765,"P16233","f[(1)](id, age), f[(5)](group)",0.697,0.015,0.003,0.011,0.12,0.155,1.002,108,12,8,0,0,8,0
"766",766,"P16234","f[(1)](id, age), f[(5)](group)",0.541,0.022,0.002,0.008,0.033,0.394,1.002,162,18,10,0,0,10,0
"767",767,"P16284","f[(1)](id, age), f[(5)](group)",0.539,0.01,0.023,0.007,0.06,0.362,1.003,134,15,9,0,2,8,0
"768",768,"P16581","f[(1)](id, age), f[(2)](age)",0.773,0.042,0.007,0.001,0.003,0.174,1.002,189,21,11,0,4,11,0
