JobID	Elapsed	
47386983_76	1:58:39	1
47386983_77	6:40:06	1
47386983_78	5:49:09	1
47386983_79	5:23:09	1
47386983_80	3:28:42	1
47386983_81	2:17:37	1
47386983_82	1:54:49	1
47386983_83	4:19:15	1
47386983_84	5:15:35	1
47386983_85	6:01:28	1
47386983_86	3:44:47	1
47386983_87	4:34:14	1
47386983_88	4:46:44	1
47386983_89	2:27:27	1
47386983_90	3:29:28	1
47386983_91	8:06:48	1
47386983_92	5:08:14	1
47386983_93	2:45:37	1
47386983_94	2:50:35	1
47386983_95	2:22:40	1
47386983_96	6:34:03	1
47386983_97	4:15:19	1
47386983_98	4:47:53	1
47386983_99	4:47:08	1
47386983_100	4:47:20	1
47386983_101	3:44:02	1
47386983_102	5:12:02	1
47386983_103	4:26:35	1
47386983_104	2:51:24	1
47386983_105	5:35:05	1
47386983_106	2:25:41	1
47386983_107	3:30:49	1
47386983_108	6:45:25	1
47386983_109	4:49:56	1
47386983_110	6:31:19	1
47386983_111	6:57:18	1
47386983_112	4:18:40	1
47386983_113	4:18:23	1
47386983_114	3:43:37	1
47386983_115	8:04:25	1
47386983_116	4:55:08	1
47386983_117	6:21:32	1
47386983_118	4:12:59	1
47386983_119	4:48:40	1
47386983_120	6:35:34	1
47386983_121	4:43:44	1
47386983_122	2:28:46	1
47386983_123	4:24:20	1
47386983_124	4:16:52	1
47386983_125	8:29:56	1
47386983_126	1:57:08	1
47386983_127	1:59:28	1
47386983_128	6:00:32	1
47386983_129	4:29:25	1
47386983_130	1:52:22	1
47386983_131	4:43:02	1
47386983_132	5:24:53	1
47386983_133	4:47:42	1
47386983_134	2:46:43	1
47386983_135	6:13:49	1
47386983_136	4:41:56	1
47386983_137	4:14:28	1
47386983_138	4:13:12	1
47386983_139	4:51:55	1
47386983_140	6:46:16	1
47386983_141	1:53:57	1
47386983_142	5:19:43	1
47386983_143	6:01:53	1
47386983_144	4:42:58	1
47386983_145	6:41:06	1
47386983_146	2:28:47	1
47386983_147	2:29:54	1
47386983_148	6:25:42	1
47386983_149	2:33:00	1
47386983_150	4:31:15	1
47386983_151	4:48:28	1
47386983_152	4:48:50	1
47386983_153	4:26:43	1
47386983_154	8:26:04	1
47386983_155	4:31:30	1
47386983_156	5:21:23	1
47386983_157	6:27:45	1
